# NedoTokenizer 20 GB candidate vocabulary
# NDSRF004 / RootSuffixByteBpe / max_token_bytes=48 / min_frequency=100
# columns: id	type	text	hex
209	base-byte	"\xCE"	CE
210	base-byte	"\xCF"	CF
211	base-byte	"\xD0"	D0
212	base-byte	"\xD1"	D1
213	base-byte	"\xD2"	D2
214	base-byte	"\xD3"	D3
215	base-byte	"\xD4"	D4
216	base-byte	"\xD5"	D5
217	base-byte	"\xD6"	D6
218	base-byte	"\xD7"	D7
219	base-byte	"\xD8"	D8
220	base-byte	"\xD9"	D9
221	base-byte	"\xDA"	DA
222	base-byte	"\xDB"	DB
223	base-byte	"\xDC"	DC
224	base-byte	"\xDD"	DD
225	base-byte	"\xDE"	DE
226	base-byte	"\xDF"	DF
227	base-byte	"\xE0"	E0
228	base-byte	"\xE1"	E1
229	base-byte	"\xE2"	E2
230	base-byte	"\xE3"	E3
231	base-byte	"\xE4"	E4
232	base-byte	"\xE5"	E5
233	base-byte	"\xE6"	E6
234	base-byte	"\xE7"	E7
235	base-byte	"\xE8"	E8
236	base-byte	"\xE9"	E9
237	base-byte	"\xEA"	EA
238	base-byte	"\xEB"	EB
239	base-byte	"\xEC"	EC
240	base-byte	"\xED"	ED
241	base-byte	"\xEE"	EE
242	base-byte	"\xEF"	EF
243	base-byte	"\xF0"	F0
244	base-byte	"\xF1"	F1
245	base-byte	"\xF2"	F2
246	base-byte	"\xF3"	F3
247	base-byte	"\xF4"	F4
248	base-byte	"\xF5"	F5
249	base-byte	"\xF6"	F6
250	base-byte	"\xF7"	F7
251	base-byte	"\xF8"	F8
252	base-byte	"\xF9"	F9
253	base-byte	"\xFA"	FA
254	base-byte	"\xFB"	FB
255	base-byte	"\xFC"	FC
256	base-byte	"\xFD"	FD
257	base-byte	"\xFE"	FE
258	base-byte	"\xFF"	FF
259	learned	"ı"	C4 B1
260	learned	"ar"	61 72
261	learned	"er"	65 72
262	learned	"ü"	C3 BC
263	learned	"an"	61 6E
264	learned	"  "	20 20
265	learned	"in"	69 6E
266	learned	"ş"	C5 9F
267	learned	" b"	20 62
268	learned	"en"	65 6E
269	learned	"ir"	69 72
270	learned	"ın"	C4 B1 6E
271	learned	"ğ"	C4 9F
272	learned	"ç"	C3 A7
273	learned	"il"	69 6C
274	learned	" k"	20 6B
275	learned	" d"	20 64
276	learned	" s"	20 73
277	learned	"ma"	6D 61
278	learned	" y"	20 79
279	learned	"al"	61 6C
280	learned	"lar"	6C 61 72
281	learned	"ö"	C3 B6
282	learned	"ek"	65 6B
283	learned	"ler"	6C 65 72
284	learned	" g"	20 67
285	learned	"ak"	61 6B
286	learned	"    "	20 20 20 20
287	learned	" o"	20 6F
288	learned	" v"	20 76
289	learned	"la"	6C 61
290	learned	"et"	65 74
291	learned	"el"	65 6C
292	learned	" t"	20 74
293	learned	" i"	20 69
294	learned	"da"	64 61
295	learned	"de"	64 65
296	learned	"or"	6F 72
297	learned	"on"	6F 6E
298	learned	"un"	75 6E
299	learned	"le"	6C 65
300	learned	"at"	61 74
301	learned	" ve"	20 76 65
302	learned	" h"	20 68
303	learned	"li"	6C 69
304	learned	" ol"	20 6F 6C
305	learned	"iz"	69 7A
306	learned	"ay"	61 79
307	learned	"me"	6D 65
308	learned	"ır"	C4 B1 72
309	learned	"ur"	75 72
310	learned	"im"	69 6D
311	learned	"iy"	69 79
312	learned	" bir"	20 62 69 72
313	learned	" B"	20 42
314	learned	"st"	73 74
315	learned	"lı"	6C C4 B1
316	learned	" A"	20 41
317	learned	"İ"	C4 B0
318	learned	"ün"	C3 BC 6E
319	learned	" a"	20 61
320	learned	"ik"	69 6B
321	learned	"ul"	75 6C
322	learned	" ç"	20 C3 A7
323	learned	"ür"	C3 BC 72
324	learned	"ap"	61 70
325	learned	" S"	20 53
326	learned	"it"	69 74
327	learned	"ed"	65 64
328	learned	" K"	20 4B
329	learned	"        "	20 20 20 20 20 20 20 20
330	learned	" de"	20 64 65
331	learned	"ya"	79 61
332	learned	"\xE2\x80"	E2 80
333	learned	"aş"	61 C5 9F
334	learned	"sı"	73 C4 B1
335	learned	" m"	20 6D
336	learned	" T"	20 54
337	learned	"si"	73 69
338	learned	"di"	64 69
339	learned	"am"	61 6D
340	learned	"iş"	69 C5 9F
341	learned	"em"	65 6D
342	learned	" p"	20 70
343	learned	"ım"	C4 B1 6D
344	learned	"um"	75 6D
345	learned	" M"	20 4D
346	learned	"ış"	C4 B1 C5 9F
347	learned	"ab"	61 62
348	learned	"ah"	61 68
349	learned	" ö"	20 C3 B6
350	learned	"ıl"	C4 B1 6C
351	learned	" il"	20 69 6C
352	learned	"az"	61 7A
353	learned	"es"	65 73
354	learned	" 1"	20 31
355	learned	"ların"	6C 61 72 C4 B1 6E
356	learned	"ık"	C4 B1 6B
357	learned	" f"	20 66
358	learned	"lerin"	6C 65 72 69 6E
359	learned	" iç"	20 69 C3 A7
360	learned	"dan"	64 61 6E
361	learned	" 2"	20 32
362	learned	"ce"	63 65
363	learned	"leri"	6C 65 72 69
364	learned	" D"	20 44
365	learned	"ları"	6C 61 72 C4 B1
366	learned	"ağ"	61 C4 9F
367	learned	" n"	20 6E
368	learned	"sin"	73 69 6E
369	learned	"ız"	C4 B1 7A
